Charge,Dist_m,Elev_mil,D_Elev_per_100m_DR_mil,TOF_per_100m_DR_sec,TOF_sec,Az_per_1ms_mil,w_range_1ms_h_m,w_range_1ms_t_m,air_t_1_dec_m,air_t_1_inc_m,air_dens_1_dec_m,air_dens_1_inc_m
0,200,1553,1,0.7,30.3,10.2,2.1,-2,0,0,-0.2,0.2
0,250,1541,1.2,0.7,30.3,8.2,2.1,-2,0,-0.1,-0.2,0.2
0,300,1530,1.4,0.7,30.2,6.9,2.2,-2,0,0,-0.3,0.2
0,350,1518,1.8,0.7,30.2,5.9,2.2,-2.1,0.1,-0.1,-0.3,0.3
0,400,1506,1.9,0.7,30.2,5.2,2.2,-2,0.1,0,-0.4,0.4
0,450,1494,2.3,0.7,30.1,4.6,2.3,-2.1,0.1,-0.1,-0.4,0.4
0,500,1482,2.6,0.7,30.1,4.2,2.3,-2.1,0.1,-0.1,-0.5,0.5
0,550,1470,2.8,0.7,30.1,3.8,2.3,-2.1,0.1,-0.1,-0.5,0.6
0,600,1458,3,0.7,30,3.5,2.4,-2.2,0.1,-0.1,-0.6,0.6
0,650,1445,3.5,0.7,30,3.2,2.4,-2.2,0.1,-0.1,-0.6,0.7
0,700,1433,3.6,0.7,29.9,3,2.4,-2.2,0.1,-0.1,-0.7,0.7
0,750,1420,4,0.7,29.8,2.8,2.5,-2.2,0.1,-0.2,-0.8,0.8
0,800,1408,4.3,0.7,29.8,2.6,2.5,-2.3,0.1,-0.2,-0.8,0.9
0,850,1395,4.6,0.7,29.7,2.5,2.6,-2.3,0.2,-0.1,-0.8,0.9
0,900,1382,5.1,0.7,29.6,2.4,2.7,-2.3,0.1,-0.1,-0.9,0.9
0,950,1369,5.3,0.7,29.5,2.2,2.7,-2.4,0.1,-0.2,-1,1
0,1000,1356,5.9,0.7,29.4,2.1,2.6,-2.5,0.2,-0.1,-1,1
0,1050,1342,6,0.7,29.4,2,2.8,-2.4,0.2,-0.1,-1,1
0,1100,1329,6.8,0.8,29.2,1.9,2.8,-2.6,0.1,-0.2,-1.1,1.1
0,1150,1315,7.1,0.8,29.1,1.9,2.9,-2.5,0.3,-0.1,-1.1,1.2
0,1200,1301,7.4,0.8,29,1.8,2.9,-2.5,0.3,-0.1,-1.1,1.3
0,1250,1286,8,0.8,28.9,1.7,2.9,-2.7,0.1,-0.1,-1.3,1.2
0,1300,1272,8.7,0.8,28.8,1.7,3,-2.7,0.1,-0.1,-1.4,1.2
0,1350,1256,9.4,0.8,28.6,1.6,3,-2.7,0.2,-0.3,-1.5,1.3
0,1400,1241,9.8,0.8,28.5,1.5,3.1,-2.8,0.2,-0.3,-1.6,1.4
0,1450,1225,10.9,0.8,28.3,1.5,3.1,-2.8,0.2,-0.3,-1.6,1.4
0,1500,1209,11.4,0.8,28.1,1.4,3.1,-2.9,0.3,-0.2,-1.5,1.6
0,1550,1192,12.6,0.8,27.9,1.4,3.1,-2.9,0.2,-0.1,-1.7,1.5
0,1600,1175,13.5,0.9,27.7,1.3,3.2,-2.9,0.2,-0.2,-1.6,1.6
0,1650,1157,14.4,0.9,27.5,1.3,3.2,-2.9,0.2,-0.2,-1.7,1.7
0,1700,1138,15.8,0.9,27.3,1.2,3.4,-3,0.2,-0.2,-1.8,1.7
0,1750,1118,17.3,1,27,1.2,3.3,-3,0.2,-0.2,-1.8,1.8
0,1800,1097,19,1,26.7,1.2,3.3,-3,0.2,-0.2,-1.9,1.9
0,1850,1075,21.1,1.2,26.4,1.1,3.3,-3,0.2,-0.2,-2,2
0,1900,1051,24,1.1,26.1,1.1,3.3,-3,0.2,-0.2,-2,2.1
0,1950,1025,27.2,1.2,25.7,1,3.3,-3.1,0.2,-0.2,-2.1,2.1
0,2000,996,31.8,1.3,25.2,1,3.3,-3.1,0.3,-0.3,-2.2,2.1
0,2050,963,38.5,1.4,24.6,0.9,3.5,-3.1,0.3,-0.2,-2.2,2.2
0,2100,923,49.3,1.7,23.9,0.9,3.5,-3,0.3,-0.3,-2.1,2.1
0,2150,861,76.2,2.3,22.8,0.8,3.2,-3,0.3,-0.3,-2.2,2.2
1,350,1563,0.3,0.5,45.7,19,6.7,-6.6,0,0,-0.7,0.7
1,400,1557,0.3,0.5,45.7,16.7,6.8,-6.6,0.1,-0.1,-0.8,0.8
1,450,1552,0.3,0.5,45.7,14.8,6.9,-6.6,0.1,-0.1,-0.9,0.9
1,500,1546,0.5,0.5,45.7,13.4,6.8,-6.6,0.1,-0.1,-1.1,1
1,550,1541,0.5,0.5,45.7,12.2,6.8,-6.6,0.1,-0.1,-1.2,1.1
1,600,1536,0.5,0.5,45.7,11.2,6.9,-6.6,0.1,-0.1,-1.2,1.2
1,650,1530,0.6,0.5,45.7,10.3,7,-6.6,0.1,-0.1,-1.3,1.3
1,700,1525,0.6,0.5,45.7,9.6,7,-6.6,0.1,-0.1,-1.4,1.4
1,750,1519,0.7,0.5,45.6,9,7,-6.6,0.1,-0.1,-1.6,1.5
1,800,1514,0.8,0.5,45.6,8.4,7,-6.7,0.1,-0.1,-1.7,1.7
1,850,1508,0.8,0.5,45.6,8,7.1,-6.8,0.1,-0.1,-1.8,1.7
1,900,1503,0.9,0.5,45.6,7.5,7.1,-6.8,0.1,-0.1,-1.9,1.8
1,950,1497,0.9,0.5,45.5,7.1,7.2,-6.8,0.1,-0.1,-2,1.9
1,1000,1492,1,0.5,45.5,6.8,7.2,-6.8,0.1,-0.1,-2.1,2
1,1050,1486,1,0.5,45.5,6.5,7.3,-7,0.1,-0.1,-2.2,2.1
1,1100,1481,1.1,0.5,45.5,6.2,7.3,-7,0.1,-0.1,-2.4,2.2
1,1150,1475,1.1,0.5,45.4,5.9,7.4,-6.9,0.2,-0.2,-2.4,2.4
1,1200,1470,1.2,0.5,45.4,5.7,7.4,-7,0.2,-0.2,-2.5,2.4
1,1250,1464,1.2,0.5,45.4,5.4,7.5,-7,0.2,-0.2,-2.6,2.4
1,1300,1459,1.3,0.5,45.3,5.2,7.5,-7,0.2,-0.2,-2.7,2.6
1,1350,1453,1.3,0.5,45.3,5.1,7.6,-7.1,0.2,-0.2,-2.8,2.8
1,1400,1447,1.5,0.5,45.3,4.9,7.6,-7.2,0.2,-0.2,-3,2.8
1,1450,1442,1.5,0.5,45.2,4.7,7.6,-7.2,0.2,-0.2,-3.1,3
1,1500,1436,1.5,0.5,45.2,4.6,7.7,-7.2,0.2,-0.2,-3.2,3.1
1,1550,1430,1.6,0.5,45.1,4.4,7.8,-7.3,0.2,-0.2,-3.3,3.1
1,1600,1424,1.6,0.5,45.1,4.3,7.8,-7.3,0.2,-0.2,-3.4,3.3
1,1650,1418,1.7,0.5,45.1,4.2,7.9,-7.4,0.2,-0.2,-3.5,3.4
1,1700,1413,1.8,0.5,45,4,7.9,-7.4,0.2,-0.2,-3.6,3.4
1,1750,1407,1.8,0.5,45,3.9,8,-7.6,0.2,-0.2,-3.7,3.5
1,1800,1401,1.9,0.5,44.9,3.8,8,-7.6,0.2,-0.2,-3.8,3.6
1,1850,1395,2,0.5,44.9,3.7,8.1,-7.7,0.3,-0.3,-3.9,3.7
1,1900,1389,2,0.5,44.8,3.6,8.1,-7.6,0.3,-0.3,-4.1,3.9
1,1950,1383,2.2,0.5,44.7,3.5,8.1,-7.7,0.3,-0.3,-4.2,3.9
1,2000,1377,2.3,0.5,44.7,3.5,8.2,-7.8,0.3,-0.3,-4.3,4
1,2050,1371,2.4,0.5,44.6,3.4,8.2,-7.8,0.3,-0.3,-4.4,4.1
1,2100,1365,2.4,0.5,44.6,3.3,8.4,-7.9,0.3,-0.3,-4.5,4.3
1,2150,1359,2.5,0.5,44.5,3.2,8.4,-7.9,0.3,-0.3,-4.6,4.4
1,2200,1353,2.5,0.5,44.4,3.1,8.4,-7.9,0.3,-0.3,-4.8,4.4
1,2250,1346,2.6,0.5,44.4,3.1,8.6,-8,0.3,-0.3,-4.9,4.6
1,2300,1340,2.7,0.5,44.3,3,8.6,-8,0.3,-0.3,-5,4.6
1,2350,1334,2.7,0.5,44.2,3,8.7,-8.2,0.3,-0.3,-5,4.9
1,2400,1327,2.9,0.5,44.2,2.9,8.7,-8.3,0.3,-0.3,-5.2,4.9
1,2450,1321,2.7,0.5,44.1,2.9,8.7,-8.3,0.3,-0.3,-5.2,4.9
1,2500,1315,3.1,0.5,44,2.8,8.8,-8.2,0.3,-0.3,-5.3,5
1,2600,1301,3.2,0.5,43.8,2.7,8.9,-8.5,0.4,-0.4,-5.7,5.4
1,2650,1295,3.2,0.5,43.8,2.6,8.9,-8.5,0.4,-0.4,-5.7,5.5
1,2700,1288,3.3,0.5,43.7,2.6,9,-8.5,0.4,-0.4,-5.8,5.5
1,2750,1281,3.6,0.5,43.6,2.5,9,-8.6,0.4,-0.4,-5.9,5.7
1,2800,1275,3.4,0.5,43.5,2.5,9.2,-8.4,0.4,-0.4,-6,5.8
1,2850,1268,3.6,0.5,43.4,2.4,9.3,-8.7,0.4,-0.4,-6.3,6.1
1,2900,1261,3.8,0.5,43.3,2.4,9.3,-8.7,0.4,-0.4,-6.3,6.1
1,2950,1254,3.9,0.5,43.2,2.3,9.4,-8.8,0.4,-0.4,-6.4,6.2
1,3000,1246,4.2,0.6,43.1,2.3,9.5,-8.9,0.4,-0.4,-6.7,6.5
1,3050,1239,4.3,0.6,43,2.3,9.5,-8.9,0.4,-0.4,-6.7,6.6
1,3100,1232,4.3,0.6,42.9,2.2,9.5,-8.9,0.4,-0.4,-6.8,6.6
1,3150,1224,4.7,0.6,42.7,2.2,9.6,-9,0.5,-0.5,-7,6.8
1,3200,1217,4.7,0.6,42.6,2.2,9.6,-9,0.5,-0.5,-7,6.8
1,3250,1209,4.8,0.6,42.5,2.1,9.6,-9,0.5,-0.5,-7.2,6.7
1,3300,1201,5.2,0.6,42.4,2.1,9.5,-9.3,0.5,-0.5,-7.3,6.9
1,3350,1194,5.2,0.6,42.2,2.1,9.5,-9.3,0.5,-0.5,-7.4,6.9
1,3400,1186,5.6,0.6,42.1,2,9.8,-9.3,0.5,-0.5,-7.6,7
1,3450,1178,5.7,0.6,42,2,9.8,-9.1,0.5,-0.5,-7.5,7.1
1,3500,1169,5.8,0.6,41.8,2,9.9,-9.1,0.5,-0.5,-7.7,7.2
1,3550,1161,5.9,0.6,41.7,1.9,9.9,-9.2,0.5,-0.5,-7.7,7.5
1,3600,1152,6.3,0.6,41.5,1.9,9.9,-9.5,0.5,-0.5,-7.9,7.6
1,3650,1143,6.7,0.6,41.3,1.9,9.9,-9.5,0.5,-0.5,-8,7.5
1,3700,1135,6.8,0.6,41.2,1.8,10,-9.6,0.5,-0.5,-8.1,7.9
